Target,Able-NZ,Bridge-US,BTI-UK,Deluxe-UK,Ericsson-AU,Ericsson-UK,Mennell-CA,MindsEye-UK,SDI-Media-UK,ADAssociates-US
Able-NZ,1,0.5056179775,0.547116737,0.5450704225,0.5414448669,0.555472822,0.5653450808,0.5408618128,0.5604151223,0.5604151223
Bridge-US,0.5056179775,1,0.526439483,0.5752941176,0.5128526646,0.4855206408,0.5408038977,0.5461254613,0.5070595457,0.4756335283
BTI-UK,0.547116737,0.526439483,1,0.5855263158,0.5795053004,0.5376999238,0.5813953488,0.6030428769,0.5631469979,0.5091979397
Deluxe-UK,0.5450704225,0.5752941176,0.5855263158,1,0.5973106865,0.5848925849,0.5767123288,0.6177285319,0.597097443,0.5364775239
Ericsson-AU,0.5414448669,0.5128526646,0.5795053004,0.5973106865,1,0.5838323353,0.6066420664,0.569081404,0.5871833085,0.5287539936
Ericsson-UK,0.555472822,0.4855206408,0.5376999238,0.5848925849,0.5838323353,1,0.5639913232,0.5427944404,0.5806451613,0.525
Mennell-CA,0.5653450808,0.5408038977,0.5813953488,0.5767123288,0.6066420664,0.5639913232,1,0.5988455988,0.558675306,0.5342571209
MindsEye-UK,0.5408618128,0.5461254613,0.6030428769,0.6177285319,0.569081404,0.5427944404,0.5988455988,1,0.5564457393,0.5144193297
SDI-Media-UK,0.5604151223,0.5070595457,0.5631469979,0.597097443,0.5871833085,0.5806451613,0.558675306,0.5564457393,1,0.5598755832
ADAssociates-US,0.5604151223,0.4756335283,0.5091979397,0.5364775239,0.5287539936,0.525,0.5342571209,0.5144193297,0.5598755832,1
