Target,Aptnet,Aristia,CEIAF,CineAccesible,EdSolProducciones,K-Gala,SDI-Media,Ericsson,Sonidos,Tragora
Aptnet,1,0.4743083004,0.5118059987,0.4635310157,0.4533508541,0.479776848,0.5619834711,0.5025445293,0.5092348285,0.5625668449
Aristia,0.4743083004,1,0.5283950617,0.5237668161,0.4615384615,0.5563770795,0.4992548435,0.5163934426,0.5635738832,0.4400527009
CEIAF,0.5118059987,0.5283950617,1,0.5223367698,0.4840032814,0.5004420866,0.5305535586,0.5342789598,0.5243198681,0.4926611359
CineAccesibe,0.4635310157,0.5237668161,0.5223367698,1,0.4897229669,0.5509214355,0.5127807901,0.5132591959,0.5534591195,0.4389911384
EdSolProducciones,0.4533508541,0.4615384615,0.4840032814,0.4897229669,1,0.4840032814,0.5096582467,0.4591503268,0.4931506849,0.4454664915
K-Gala,0.479776848,0.5563770795,0.5004420866,0.5509214355,0.4840032814,1,0.5278219396,0.4982394366,0.5722222222,0.4435146444
SDI-Media,0.5619834711,0.4992548435,0.5305535586,0.5127807901,0.5096582467,0.5278219396,1,0.5214899713,0.576119403,0.5289256198
Ericson,0.5025445293,0.5163934426,0.5342789598,0.5132591959,0.4591503268,0.4982394366,0.5214899713,1,0.5336617406,0.4885496183
Sonidos,0.5092348285,0.5635738832,0.5243198681,0.5534591195,0.4931506849,0.5722222222,0.576119403,0.5336617406,1,0.4802110818
Tragora,0.5625668449,0.4400527009,0.4926611359,0.4389911384,0.4454664915,0.4435146444,0.5289256198,0.4885496183,0.4802110818,1
